epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,81.7932,1.28897,1.09805,1.3401,0.8084,0.85756,0.94909,0.66576,1.199,1.05679,1.20994,0.000724518,0.000724518,0.000724518
43,83.3528,1.25377,1.05773,1.33746,0.96015,0.82387,0.94152,0.634,1.22554,1.10254,1.20399,0.000720019,0.000720019,0.000720019
44,84.8513,1.35267,1.10988,1.37084,0.91092,0.85206,0.93186,0.60193,1.35575,1.15498,1.3199,0.000715519,0.000715519,0.000715519
45,86.3957,1.18979,1.11512,1.23425,0.90683,0.93692,0.97524,0.55911,1.47528,1.1268,1.37704,0.00071102,0.00071102,0.00071102
46,87.9245,1.12125,1.12214,1.27668,0.90683,0.93692,0.97524,0.55911,1.47528,1.1268,1.37704,0.00070652,0.00070652,0.00070652
47,89.5829,1.12686,0.96076,1.23975,0.84377,0.85494,0.92008,0.52315,1.44646,0.9893,1.33662,0.000702021,0.000702021,0.000702021
48,91.1244,1.15586,1.00701,1.28313,0.84908,0.87583,0.93541,0.61034,1.22783,0.91887,1.18334,0.000697521,0.000697521,0.000697521
49,92.6877,1.13751,1.18791,1.27877,0.88851,0.89306,0.95971,0.6712,1.09539,0.93884,1.12208,0.000693022,0.000693022,0.000693022
50,94.2324,0.99432,0.91396,1.1388,0.88851,0.89306,0.95971,0.6712,1.09539,0.93884,1.12208,0.000688522,0.000688522,0.000688522
51,95.818,1.15059,1.0745,1.28309,0.93017,0.88385,0.9571,0.72878,1.01126,0.7916,1.08106,0.000684022,0.000684022,0.000684022
52,97.3789,1.17098,1.01956,1.27205,0.93925,0.93289,0.96122,0.69131,1.12525,0.7636,1.1447,0.000679523,0.000679523,0.000679523
53,98.947,1.19673,0.9513,1.30217,0.94236,0.93519,0.96026,0.6357,1.29937,0.81689,1.27765,0.000675023,0.000675023,0.000675023
54,100.568,1.14804,0.98553,1.26578,0.94236,0.93519,0.96026,0.6357,1.29937,0.81689,1.27765,0.000670524,0.000670524,0.000670524
55,102.174,1.08935,0.91627,1.2734,0.85908,0.9407,0.96128,0.59487,1.31247,0.85997,1.31714,0.000666024,0.000666024,0.000666024
56,103.836,1.05329,0.89499,1.2267,0.84286,0.94014,0.96184,0.60831,1.36298,0.89571,1.37391,0.000661525,0.000661525,0.000661525
57,105.452,1.14861,0.91617,1.24348,0.84308,0.94341,0.95678,0.60495,1.34519,0.87837,1.33248,0.000657025,0.000657025,0.000657025
58,107.03,1.11764,0.93277,1.23122,0.84308,0.94341,0.95678,0.60495,1.34519,0.87837,1.33248,0.000652526,0.000652526,0.000652526
59,108.694,1.04845,0.85205,1.13201,0.79925,0.86921,0.89278,0.63037,1.30487,0.83258,1.25088,0.000648026,0.000648026,0.000648026
60,110.341,1.12273,0.9541,1.24342,0.82789,0.93117,0.93431,0.67899,1.22407,0.80143,1.15189,0.000643527,0.000643527,0.000643527
61,111.934,1.07779,0.95745,1.2601,0.76893,0.94014,0.94602,0.71508,1.14309,0.81047,1.10722,0.000639027,0.000639027,0.000639027
62,113.542,1.1495,1.01065,1.2989,0.76893,0.94014,0.94602,0.71508,1.14309,0.81047,1.10722,0.000634527,0.000634527,0.000634527
63,115.161,1.0884,0.91395,1.22051,0.96197,0.77456,0.94404,0.73812,1.13461,0.87684,1.10059,0.000630028,0.000630028,0.000630028
64,116.721,1.14154,0.93979,1.2792,0.93742,0.75809,0.94788,0.69052,1.14519,0.97612,1.10755,0.000625528,0.000625528,0.000625528
65,118.264,1.15171,0.941,1.22828,0.87978,0.76747,0.92503,0.66275,1.16099,0.98717,1.13037,0.000621029,0.000621029,0.000621029
66,119.976,1.26286,1.12194,1.29018,0.87978,0.76747,0.92503,0.66275,1.16099,0.98717,1.13037,0.000616529,0.000616529,0.000616529
67,121.555,1.14804,0.99026,1.31455,0.86517,0.77687,0.92673,0.66161,1.12375,0.95799,1.12413,0.00061203,0.00061203,0.00061203
68,123.14,1.0584,0.92174,1.18909,0.90408,0.77933,0.94342,0.69029,1.04739,0.93235,1.08652,0.00060753,0.00060753,0.00060753
69,124.673,1.15394,0.99213,1.33933,0.95486,0.75997,0.93956,0.66984,1.09307,0.92976,1.10932,0.000603031,0.000603031,0.000603031
70,126.242,1.11568,0.96297,1.28665,0.95486,0.75997,0.93956,0.66984,1.09307,0.92976,1.10932,0.000598531,0.000598531,0.000598531
71,127.784,1.07169,0.91437,1.15713,0.97134,0.75802,0.93952,0.65891,1.22842,0.91855,1.17026,0.000594031,0.000594031,0.000594031
72,129.349,1.27882,1.04288,1.375,0.94205,0.78215,0.94183,0.59957,1.3139,0.90246,1.24663,0.000589532,0.000589532,0.000589532
73,130.924,1.07541,0.86541,1.21407,0.94912,0.8925,0.94931,0.60804,1.29685,0.8938,1.22869,0.000585032,0.000585032,0.000585032
74,132.446,1.0806,0.84335,1.19937,0.94912,0.8925,0.94931,0.60804,1.29685,0.8938,1.22869,0.000580533,0.000580533,0.000580533
75,134.075,1.13247,0.88341,1.21287,0.86623,0.92999,0.93997,0.58683,1.25639,0.90762,1.18274,0.000576033,0.000576033,0.000576033
76,135.695,1.01051,0.90712,1.20003,0.88348,0.92244,0.95997,0.62369,1.17772,0.81319,1.13301,0.000571534,0.000571534,0.000571534
77,137.241,1.16603,0.85054,1.26673,0.92386,0.90245,0.95833,0.63063,1.12721,0.73954,1.08752,0.000567034,0.000567034,0.000567034
78,138.77,1.06472,0.86406,1.18715,0.92386,0.90245,0.95833,0.63063,1.12721,0.73954,1.08752,0.000562535,0.000562535,0.000562535
79,140.387,0.95421,0.78609,1.11944,0.95935,0.88115,0.96884,0.64329,1.18272,0.76927,1.1008,0.000558035,0.000558035,0.000558035
80,141.932,0.99823,0.7707,1.18371,0.95477,0.86477,0.95206,0.66199,1.28844,0.85161,1.14074,0.000553536,0.000553536,0.000553536
81,143.549,1.1178,0.94914,1.27099,0.88764,0.83417,0.92672,0.65298,1.30483,0.87718,1.15217,0.000549036,0.000549036,0.000549036
82,145.083,1.19379,0.9203,1.35484,0.88764,0.83417,0.92672,0.65298,1.30483,0.87718,1.15217,0.000544536,0.000544536,0.000544536
83,146.714,1.1444,1.03428,1.29861,0.87041,0.86269,0.94488,0.64939,1.3365,0.82319,1.18173,0.000540037,0.000540037,0.000540037
84,148.29,1.06884,0.81356,1.16315,0.94335,0.86361,0.952,0.65566,1.35048,0.77872,1.20084,0.000535537,0.000535537,0.000535537
85,149.949,1.0395,0.78606,1.19672,0.95135,0.89864,0.97687,0.70091,1.31384,0.75035,1.17687,0.000531038,0.000531038,0.000531038
86,151.557,0.97745,0.70491,1.18057,0.95135,0.89864,0.97687,0.70091,1.31384,0.75035,1.17687,0.000526538,0.000526538,0.000526538
87,153.158,1.00106,0.78212,1.15142,0.94551,0.92658,0.98554,0.73559,1.19802,0.70518,1.1138,0.000522039,0.000522039,0.000522039
88,155.035,1.06619,0.83246,1.21886,0.95208,0.92025,0.98094,0.72549,1.16834,0.6901,1.10466,0.000517539,0.000517539,0.000517539
89,156.639,0.9836,0.81984,1.11548,0.91716,0.95836,0.97591,0.73095,1.15199,0.67602,1.09576,0.00051304,0.00051304,0.00051304
90,158.08,1.10319,0.87136,1.23323,0.91716,0.95836,0.97591,0.73095,1.15199,0.67602,1.09576,0.00050854,0.00050854,0.00050854
91,159.629,1.05243,0.81758,1.17945,0.93576,0.9364,0.97528,0.73152,1.09251,0.63998,1.06052,0.00050404,0.00050404,0.00050404
92,161.291,1.07834,0.94187,1.28022,0.95576,0.91807,0.97129,0.72317,1.06788,0.63188,1.04336,0.000499541,0.000499541,0.000499541
93,162.819,1.08474,0.72901,1.28096,0.94641,0.93414,0.97233,0.72035,1.02949,0.60438,1.02545,0.000495041,0.000495041,0.000495041
94,164.372,0.96385,0.74794,1.21562,0.94641,0.93414,0.97233,0.72035,1.02949,0.60438,1.02545,0.000490542,0.000490542,0.000490542
95,165.974,1.06728,0.74751,1.19366,0.93712,0.95317,0.97316,0.74906,0.93411,0.58561,0.99152,0.000486042,0.000486042,0.000486042
96,167.932,0.94234,0.71717,1.13067,0.94876,0.95408,0.97296,0.76023,0.88832,0.54871,0.98325,0.000481543,0.000481543,0.000481543
97,169.888,0.93365,0.83033,1.13968,0.95572,0.95378,0.97922,0.77448,0.88971,0.52378,0.99056,0.000477043,0.000477043,0.000477043
98,171.742,1.03757,1.04691,1.32078,0.95572,0.95378,0.97922,0.77448,0.88971,0.52378,0.99056,0.000472544,0.000472544,0.000472544
99,173.587,0.98821,0.7139,1.14348,0.94938,0.95133,0.97986,0.75871,0.90652,0.53069,0.99742,0.000468044,0.000468044,0.000468044
100,175.177,1.0495,0.80604,1.21293,0.96588,0.92801,0.98079,0.75392,0.91128,0.52,1.003,0.000463545,0.000463545,0.000463545
101,176.758,1.00297,0.76303,1.19727,0.97583,0.91399,0.98558,0.7354,0.92701,0.52015,1.00786,0.000459045,0.000459045,0.000459045
102,178.322,1.04965,0.7585,1.19158,0.97583,0.91399,0.98558,0.7354,0.92701,0.52015,1.00786,0.000454545,0.000454545,0.000454545
103,179.887,0.97065,0.66412,1.13897,0.95258,0.9247,0.99036,0.7462,0.97022,0.53205,1.02265,0.000450046,0.000450046,0.000450046
104,181.529,1.00417,0.72806,1.15442,0.92017,0.92841,0.99446,0.74342,0.95063,0.53189,1.01125,0.000445546,0.000445546,0.000445546
105,183.081,1.06003,0.85449,1.22877,0.91818,0.92255,0.99399,0.75238,0.94137,0.54264,1.00199,0.000441047,0.000441047,0.000441047
106,184.626,0.99707,0.84357,1.22876,0.91818,0.92255,0.99399,0.75238,0.94137,0.54264,1.00199,0.000436547,0.000436547,0.000436547
107,186.203,1.02821,0.89691,1.21188,0.93497,0.90175,0.98913,0.76518,0.95295,0.53467,1.00302,0.000432048,0.000432048,0.000432048
108,187.807,0.95525,0.80656,1.17259,0.95436,0.90179,0.98592,0.77133,1.01339,0.54279,1.02941,0.000427548,0.000427548,0.000427548
109,189.546,0.99648,0.6999,1.14713,0.9519,0.92166,0.98841,0.75003,1.0496,0.56293,1.03943,0.000423049,0.000423049,0.000423049
110,191.137,0.95644,0.69206,1.16233,0.9519,0.92166,0.98841,0.75003,1.0496,0.56293,1.03943,0.000418549,0.000418549,0.000418549
111,192.69,0.93097,0.68591,1.15664,0.94755,0.94253,0.98929,0.75504,1.05248,0.57048,1.03208,0.000414049,0.000414049,0.000414049
112,194.295,1.00051,0.72489,1.20637,0.93597,0.95098,0.98588,0.74415,1.03092,0.55699,1.02388,0.00040955,0.00040955,0.00040955
113,195.991,1.02887,0.82614,1.24149,0.91001,0.97007,0.9837,0.73179,0.99252,0.56961,1.00827,0.00040505,0.00040505,0.00040505
114,197.524,1.00403,0.85509,1.20229,0.91001,0.97007,0.9837,0.73179,0.99252,0.56961,1.00827,0.000400551,0.000400551,0.000400551
115,199.08,0.96792,0.71839,1.12324,0.89893,0.97007,0.98262,0.74753,0.94366,0.56514,0.9946,0.000396051,0.000396051,0.000396051
116,200.595,0.94238,0.67974,1.1945,0.91182,0.94909,0.98273,0.76934,0.92082,0.54689,0.98415,0.000391552,0.000391552,0.000391552
117,202.228,1.00846,0.82383,1.21008,0.92444,0.94075,0.98202,0.76857,0.94074,0.54235,0.9932,0.000387052,0.000387052,0.000387052
118,203.716,0.95975,0.73341,1.14467,0.92444,0.94075,0.98202,0.76857,0.94074,0.54235,0.9932,0.000382553,0.000382553,0.000382553
119,205.288,1.04675,0.83746,1.33575,0.91643,0.94038,0.98103,0.75184,1.05455,0.5816,1.04497,0.000378053,0.000378053,0.000378053
120,206.83,0.99245,0.70886,1.15932,0.92712,0.93675,0.97961,0.73821,1.14727,0.6291,1.10149,0.000373554,0.000373554,0.000373554
121,208.419,1.0663,0.72178,1.22764,0.93942,0.93486,0.96616,0.68662,1.23574,0.66574,1.14426,0.000369054,0.000369054,0.000369054
122,210.079,1.0289,0.77898,1.27114,0.93942,0.93486,0.96616,0.68662,1.23574,0.66574,1.14426,0.000364554,0.000364554,0.000364554
123,211.758,0.94931,0.65379,1.12722,0.95335,0.93391,0.96833,0.72035,1.20328,0.66545,1.12261,0.000360055,0.000360055,0.000360055
124,213.375,0.9909,0.81008,1.14172,0.95856,0.93337,0.96503,0.72045,1.11007,0.65957,1.08109,0.000355555,0.000355555,0.000355555
125,214.918,0.92473,0.67488,1.08893,0.9532,0.91901,0.96177,0.76355,1.00807,0.63634,1.03774,0.000351056,0.000351056,0.000351056
126,216.472,0.99367,0.73248,1.17212,0.9532,0.91901,0.96177,0.76355,1.00807,0.63634,1.03774,0.000346556,0.000346556,0.000346556
127,217.987,0.98205,0.75443,1.17339,0.96132,0.93272,0.9761,0.76804,0.95786,0.63246,1.01937,0.000342057,0.000342057,0.000342057
128,219.61,0.96967,0.7821,1.15018,0.95995,0.9246,0.97684,0.76886,0.97008,0.64027,1.0309,0.000337557,0.000337557,0.000337557
129,221.158,1.06347,0.74055,1.24915,0.95703,0.92396,0.97858,0.76349,0.9918,0.62621,1.04345,0.000333058,0.000333058,0.000333058
130,222.718,0.90832,0.63731,1.12542,0.95703,0.92396,0.97858,0.76349,0.9918,0.62621,1.04345,0.000328558,0.000328558,0.000328558
131,224.297,0.94311,0.68553,1.22729,0.95496,0.92644,0.98319,0.7513,1.04014,0.60545,1.06793,0.000324058,0.000324058,0.000324058
132,225.893,0.89818,0.6593,1.12123,0.95448,0.92693,0.98861,0.72388,1.10047,0.59685,1.09196,0.000319559,0.000319559,0.000319559
133,227.419,0.95698,0.69845,1.18326,0.95912,0.92213,0.98655,0.70285,1.12025,0.5918,1.09395,0.000315059,0.000315059,0.000315059
134,228.843,0.93081,0.71606,1.15831,0.95912,0.92213,0.98655,0.70285,1.12025,0.5918,1.09395,0.00031056,0.00031056,0.00031056
135,230.357,0.94567,0.60118,1.14677,0.96189,0.93444,0.98481,0.70769,1.09383,0.58031,1.07291,0.00030606,0.00030606,0.00030606
136,231.86,0.87558,0.62319,1.10794,0.9534,0.91084,0.98473,0.71805,0.99601,0.56495,1.01016,0.000301561,0.000301561,0.000301561
137,233.431,0.93597,0.68578,1.10929,0.96675,0.88944,0.98028,0.76467,0.85254,0.5775,0.94801,0.000297061,0.000297061,0.000297061
138,234.953,0.90873,0.6385,1.131,0.96675,0.88944,0.98028,0.76467,0.85254,0.5775,0.94801,0.000292562,0.000292562,0.000292562
139,236.51,0.82599,0.63096,1.04542,0.95161,0.86623,0.95276,0.7883,0.76585,0.56388,0.92534,0.000288062,0.000288062,0.000288062
140,238.36,0.92209,0.77321,1.16905,0.94257,0.86769,0.9525,0.80532,0.71094,0.57067,0.91516,0.000283563,0.000283563,0.000283563
141,240.264,0.87697,0.65569,1.14492,0.93189,0.87006,0.95164,0.80557,0.69979,0.56094,0.91241,0.000279063,0.000279063,0.000279063
142,242.037,0.88705,0.64334,1.11993,0.93189,0.87006,0.95164,0.80557,0.69979,0.56094,0.91241,0.000274563,0.000274563,0.000274563
143,243.971,1.01019,0.79647,1.25716,0.91975,0.87071,0.95376,0.80643,0.72053,0.5523,0.91553,0.000270064,0.000270064,0.000270064
144,245.857,1.10239,0.73667,1.35583,0.9187,0.87032,0.95312,0.77905,0.79982,0.56053,0.93493,0.000265564,0.000265564,0.000265564
145,247.395,1.00838,0.72574,1.19794,0.92192,0.86777,0.94889,0.74406,0.89447,0.58586,0.96877,0.000261065,0.000261065,0.000261065
146,248.874,1.02034,0.68483,1.28003,0.92192,0.86777,0.94889,0.74406,0.89447,0.58586,0.96877,0.000256565,0.000256565,0.000256565
147,250.338,1.01776,0.71946,1.20329,0.9339,0.86432,0.94803,0.70263,0.98892,0.6076,1.01231,0.000252066,0.000252066,0.000252066
148,251.888,0.99408,0.74452,1.22214,0.94078,0.862,0.94723,0.69139,1.05031,0.60265,1.04085,0.000247566,0.000247566,0.000247566
149,253.432,0.92194,0.62751,1.1542,0.94605,0.86053,0.94521,0.69423,1.05305,0.59737,1.03676,0.000243067,0.000243067,0.000243067
150,254.968,0.88562,0.6325,1.16383,0.94605,0.86053,0.94521,0.69423,1.05305,0.59737,1.03676,0.000238567,0.000238567,0.000238567
151,256.455,0.89972,0.74517,1.10679,0.94952,0.86049,0.94513,0.72241,1.03123,0.58349,1.01931,0.000234068,0.000234068,0.000234068
152,257.962,0.85104,0.61058,1.1096,0.96987,0.88557,0.96882,0.78168,0.97997,0.58465,0.98971,0.000229568,0.000229568,0.000229568
153,259.44,0.81684,0.55257,1.03712,0.94355,0.91179,0.96869,0.78221,0.91537,0.56613,0.96352,0.000225068,0.000225068,0.000225068
154,261.027,0.8159,0.58402,1.0657,0.94355,0.91179,0.96869,0.78221,0.91537,0.56613,0.96352,0.000220569,0.000220569,0.000220569
155,262.659,0.82202,0.58325,1.13474,0.95009,0.91482,0.96875,0.801,0.87225,0.55896,0.94877,0.000216069,0.000216069,0.000216069
156,264.151,0.82717,0.64925,1.08096,0.94332,0.93439,0.96888,0.80231,0.85786,0.5472,0.94336,0.00021157,0.00021157,0.00021157
157,265.7,0.75937,0.55295,1.05128,0.95039,0.94027,0.96894,0.7955,0.8687,0.54797,0.94771,0.00020707,0.00020707,0.00020707
158,267.139,0.83236,0.5833,1.07954,0.95039,0.94027,0.96894,0.7955,0.8687,0.54797,0.94771,0.000202571,0.000202571,0.000202571
159,268.73,0.93178,0.64336,1.15094,0.9559,0.94283,0.96905,0.80276,0.87641,0.53428,0.94943,0.000198071,0.000198071,0.000198071
160,270.146,0.87109,0.59796,1.08803,0.95178,0.94356,0.9691,0.80321,0.87726,0.52486,0.94911,0.000193572,0.000193572,0.000193572
161,271.723,0.87745,0.65164,1.14656,0.948,0.94546,0.96889,0.80454,0.87008,0.51478,0.94729,0.000189072,0.000189072,0.000189072
162,273.198,0.89276,0.73874,1.209,0.948,0.94546,0.96889,0.80454,0.87008,0.51478,0.94729,0.000184572,0.000184572,0.000184572
163,274.679,0.85587,0.59126,1.07462,0.94637,0.9457,0.96869,0.78571,0.86361,0.50838,0.94874,0.000180073,0.000180073,0.000180073
164,276.244,0.85415,0.55967,1.0628,0.94438,0.94725,0.96864,0.77593,0.8529,0.50608,0.94584,0.000175573,0.000175573,0.000175573
165,277.79,0.80837,0.58974,1.1373,0.94461,0.94643,0.96876,0.78458,0.82221,0.5011,0.93591,0.000171074,0.000171074,0.000171074
166,279.25,0.87304,0.69549,1.10729,0.94461,0.94643,0.96876,0.78458,0.82221,0.5011,0.93591,0.000166574,0.000166574,0.000166574
167,280.81,0.81924,0.63857,1.05561,0.94292,0.94655,0.96901,0.78769,0.80453,0.49488,0.92972,0.000162075,0.000162075,0.000162075
168,282.299,0.82406,0.54034,1.02978,0.94018,0.94655,0.96911,0.79329,0.79434,0.49304,0.9237,0.000157575,0.000157575,0.000157575
169,283.869,0.90381,0.65562,1.11043,0.93686,0.94744,0.96913,0.82238,0.78019,0.48656,0.91691,0.000153076,0.000153076,0.000153076
170,285.653,0.79214,0.56296,1.06798,0.93686,0.94744,0.96913,0.82238,0.78019,0.48656,0.91691,0.000148576,0.000148576,0.000148576
171,287.568,0.77961,0.50774,1.0501,0.9362,0.94704,0.96898,0.80892,0.77321,0.47929,0.91412,0.000144077,0.000144077,0.000144077
172,289.049,0.79945,0.59475,1.073,0.93651,0.94609,0.96879,0.81593,0.77735,0.47246,0.9152,0.000139577,0.000139577,0.000139577
173,290.537,0.79876,0.56179,1.05208,0.93554,0.94503,0.96879,0.81409,0.78516,0.47413,0.91757,0.000135077,0.000135077,0.000135077
174,292.014,0.9334,0.65377,1.17889,0.93554,0.94503,0.96879,0.81409,0.78516,0.47413,0.91757,0.000130578,0.000130578,0.000130578
175,293.537,0.89848,0.69384,1.13986,0.9356,0.94389,0.9687,0.79953,0.79325,0.4799,0.91991,0.000126078,0.000126078,0.000126078
176,295.072,0.78862,0.5282,1.08796,0.93781,0.94326,0.96858,0.79303,0.82201,0.48597,0.92829,0.000121579,0.000121579,0.000121579
177,296.588,0.78673,0.57994,1.08569,0.94206,0.94197,0.96567,0.77567,0.85538,0.48151,0.9388,0.000117079,0.000117079,0.000117079
178,298.155,0.80898,0.54601,1.14449,0.94206,0.94197,0.96567,0.77567,0.85538,0.48151,0.9388,0.00011258,0.00011258,0.00011258
179,299.661,0.88476,0.60382,1.12206,0.94773,0.94029,0.96557,0.77465,0.87634,0.48403,0.94581,0.00010808,0.00010808,0.00010808
180,301.17,0.77671,0.60399,1.09229,0.95418,0.93876,0.96557,0.78441,0.88966,0.48636,0.94995,0.000103581,0.000103581,0.000103581
181,302.698,0.81761,0.60016,1.13601,0.9598,0.93748,0.9634,0.78459,0.89334,0.48404,0.95122,9.9081e-05,9.9081e-05,9.9081e-05
182,304.19,0.74419,0.50847,1.06757,0.9598,0.93748,0.9634,0.78459,0.89334,0.48404,0.95122,9.45814e-05,9.45814e-05,9.45814e-05
183,305.677,0.77163,0.52627,1.05644,0.96275,0.9369,0.96334,0.77951,0.89611,0.48596,0.95186,9.00819e-05,9.00819e-05,9.00819e-05
184,307.109,0.93131,0.68202,1.16722,0.96478,0.93604,0.9634,0.77969,0.88979,0.48577,0.94957,8.55823e-05,8.55823e-05,8.55823e-05
185,308.664,0.75938,0.52957,1.092,0.96586,0.93582,0.96347,0.78662,0.87761,0.48907,0.94515,8.10828e-05,8.10828e-05,8.10828e-05
